,V1,V2
등,-11.183055,1.9467378
일,12.007293,-5.7512465
것,2.9710505,6.8654537
년,10.874143,-3.9921162
수,3.1479926,7.203326
지역,-17.875086,12.222198
원,17.833883,4.0451865
사업,1.6975273,9.208455
월,10.572709,-4.8110843
명,16.919853,0.3245684
만,16.62905,2.238596
시,12.378193,-8.713544
지원,-19.855036,6.215606
말,1.966533,6.5821414
개,6.015376,0.42350277
중,7.1913905,-0.6878036
이,3.7535357,-4.1192093
광주,7.6727257,-8.712709
억,17.649141,4.265842
천,16.570143,2.222178
교육,-15.643147,1.7540472
이번,7.4343305,-2.165066
계획,0.56271297,10.568444
운영,17.394926,-10.819871
추진,1.4004861,9.248824
진행,3.3756998,13.057365
기업,19.853327,-7.25694
시민,-7.493777,-2.5449352
문화,-14.098005,-10.13075
도시,-12.951191,11.154275
한국,-7.140953,-17.515781
전남,8.347852,-12.686504
시장,-13.792979,-13.233589
대구,10.45782,-10.385797
대표,-1.8591605,-16.391245
센터,3.0103133,-18.132284
의원,-6.2285695,-15.819917
주민,0.78082836,-10.883207
참여,-6.7425003,-2.7072103
지난해,9.566513,-4.4688087
올해,9.333705,-4.1436477
산업,-12.993307,6.7870536
대회,9.894746,12.748072
관련,2.856965,-0.86834085
대,0.1416421,20.555525
사회,12.145709,-22.180597
대상,4.084285,14.377675
시설,1.291859,17.787468
제공,-9.807918,-1.6375287
예정,-0.23024279,8.921031
간,11.601586,-2.2416334
활동,-16.413485,-2.3257017
학교,6.3027973,-19.660732
씨,10.661662,-15.592449
학생,6.3249593,-19.640627
차,6.478049,12.553165
개발,-5.3265834,9.36425
경제,-16.674274,10.515578
기관,-2.3966465,-21.028477
정부,4.892745,9.299987
전국,10.724629,6.21704
관계자,5.4633904,-6.793722
이날,4.555694,-8.085768
경기,7.894604,-6.8436737
조성,-10.553556,10.165159
시간,13.055818,-2.264269
가능,-0.5451933,5.668068
관리,-6.855953,10.149532
위,8.400497,0.33605343
조사,-5.0494657,1.9015409
이상,11.950993,0.6853314
회,12.316612,-4.284241
정책,3.2461994,9.921308
선정,-5.635377,6.3910565
마련,-3.9640563,4.4197607
내,-1.8660766,-14.473309
환경,-2.1608543,14.619336
점,-3.1860104,-2.791585
위원회,-12.734417,-2.4544034
행사,-9.114219,-3.8648
전,6.1948013,-4.3377514
곳,5.9907928,-0.5039322
경우,4.3671136,0.26605326
안전,2.2247443,15.477257
기술,-9.792698,10.975242
한편,6.5407076,-7.6840878
건,4.518133,-1.6963205
필요,-0.9145495,3.5208807
문제,-6.503545,0.3073581
군,5.9563284,-7.149941
결과,-4.887847,1.6577132
앞,2.7818868,-6.2834187
시작,7.4248314,-3.7586823
후,5.516434,-2.9374108
세계,10.718378,11.899773
개최,8.081163,10.320179
프로그램,-13.498899,2.233798
평가,-6.9319687,4.7427506
복지,11.790511,-21.501177
최근,5.871207,-5.6125665
서비스,-9.596917,-0.56272984
현장,-14.304762,12.453308
부산,12.160266,-12.247341
분,13.632345,-7.779001
확대,-1.9960772,8.945746
개선,-2.1910553,13.791842
분야,-12.491732,0.81277734
팀,-6.894756,-4.7769194
국가,7.172315,6.6528535
발전,4.3924394,11.0606785
부,17.334446,-14.147548
우리,-2.0017018,-7.0833793
과정,-15.982708,1.2393223
설치,17.07817,9.16889
발생,4.9679174,1.9899381
생활,14.118189,-16.616777
이후,6.35047,-3.1028998
인천,11.959016,-11.147836
장,5.463474,-13.584782
상황,1.8307691,1.7611649
강화,-14.481036,8.266258
규모,14.043126,5.6300373
선수,10.26407,12.638432
때,-1.2707967,-6.3774323
대학,8.599903,-18.27459
공사,17.015944,-3.7374291
활용,-11.50711,4.381839
가운데,4.8189006,-4.868817
체험,-13.902503,1.7962149
예산,17.858587,6.1714625
단체,3.3322034,-22.11277
협력,-19.980104,-3.4203448
도,8.260567,-11.286837
연구,-8.01868,3.6662161
관광,-13.677869,4.7779093
때문,1.1625726,2.2288694
데,1.160653,4.396734
회장,4.458152,-10.691921
적극,-0.667626,7.3461995
업체,7.7996535,-14.699566
사진,-7.0835185,-7.9510913
실시,2.8414907,14.294859
행정,3.567045,19.687193
번,14.332388,-3.6711316
혁신,-12.598367,10.016407
이용,-4.4003563,10.586203
마을,-1.6572298,-12.257423
의회,7.551511,-10.656582
기준,6.5674424,-16.088787
청년,-17.509071,6.6630683
정보,-6.5878377,12.42949
사용,-4.4490056,11.316187
활성,-16.449436,10.098207
구성,-12.482954,-0.8499398
노력,0.9957636,6.2509184
조,16.720993,4.4723587
방문,-15.433959,14.586011
지방,3.723813,-23.177973
공동,16.33029,-7.5482116
지속,-0.21467495,6.325941
서울,13.454104,-11.865452
증가,11.828878,2.9883406
오후,12.980633,-8.3259945
기간,10.058831,-1.6740638
국민,1.9533962,2.999383
구축,-8.427398,10.578147
그,-2.6173136,-7.6421432
국제,-20.999191,-2.8675313
기대,2.0532496,5.3531814
주택,-3.6700034,19.489859
사람,-2.5644517,-8.144125
중심,-12.8024,10.49909
건강,2.4414065,-12.675173
국내,11.7388115,7.450476
일자리,-17.862686,8.509517
당진,6.0128417,-9.859041
대통령,1.3536628,-6.721799
공간,-11.17955,3.921332
방안,-3.0746586,5.07955
김,10.193363,-14.936968
발표,-3.3620636,1.8692683
미래,-10.491188,-13.484038
사,7.5361648,17.52171
기록,8.676175,2.1096888
확보,17.642141,6.6766434
광주시,7.8285794,-9.497134
건설,17.259243,-4.39932
준비,-16.198214,4.2898407
전문,-18.462984,2.1169329
주,10.02123,-7.279413
내용,1.958127,-0.48959407
여성,0.6017849,-12.50803
다양,-12.673312,1.7887682
공연,-13.438945,-8.818511
업무,21.499329,-1.4363589
확인,-0.2548699,-1.1122983
대비,11.567183,3.6338685
신청,-0.3783661,-2.7791193
경북,9.954557,-10.846883
위원장,-12.800296,-3.259118
피해,4.0394316,2.9113922
설명,-0.06012356,2.1482108
운동,-11.3968315,-18.955545
포함,5.0766883,0.04429529
국회,-9.136147,-15.945122
공원,-2.4393053,-18.418474
